Date,Closing Price
2024-03-15,172.6200
2024-03-14,173.0000
2024-03-13,171.1300
2024-03-12,173.2300
2024-03-11,172.7500
2024-03-08,170.7300
2024-03-07,169.0000
2024-03-06,169.1200
2024-03-05,170.1200
2024-03-04,175.1000
2024-03-01,179.6600
2024-02-29,180.7500
2024-02-28,181.4200
2024-02-27,182.6300
2024-02-26,181.1600
2024-02-23,182.5200
2024-02-22,184.3700
2024-02-21,182.3200
2024-02-20,181.5600
2024-02-16,182.3100
2024-02-15,183.8600
2024-02-14,184.1500
2024-02-13,185.0400
2024-02-12,187.1500
2024-02-09,188.8500
2024-02-08,188.3200
2024-02-07,189.4100
2024-02-06,189.3000
2024-02-05,187.6800
2024-02-02,185.8500
2024-02-01,186.8600
2024-01-31,184.4000
2024-01-30,188.0400
2024-01-29,191.7300
2024-01-26,192.4200
2024-01-25,194.1700
2024-01-24,194.5000
2024-01-23,195.1800
2024-01-22,193.8900
2024-01-19,191.5600
2024-01-18,188.6300
2024-01-17,182.6800
2024-01-16,183.6300
2024-01-12,185.9200
2024-01-11,185.5900
2024-01-10,186.1900
2024-01-09,185.1400
2024-01-08,185.5600
2024-01-05,181.1800
2024-01-04,181.9100
2024-01-03,184.2500
2024-01-02,185.6400
2023-12-29,192.5300
2023-12-28,193.5800
2023-12-27,193.1500
2023-12-26,193.0500
2023-12-22,193.6000
2023-12-21,194.6800
2023-12-20,194.8300
2023-12-19,196.9400
2023-12-18,195.8900
2023-12-15,197.5700
2023-12-14,198.1100
2023-12-13,197.9600
2023-12-12,194.7100
2023-12-11,193.1800
2023-12-08,195.7100
2023-12-07,194.2700
2023-12-06,192.3200
2023-12-05,193.4200
2023-12-04,189.4300
2023-12-01,191.2400
2023-11-30,189.9500
2023-11-29,189.3700
2023-11-28,190.4000
2023-11-27,189.7900
2023-11-24,189.9700
2023-11-22,191.3100
2023-11-21,190.6400
2023-11-20,191.4500
2023-11-17,189.6900
2023-11-16,189.7100
2023-11-15,188.0100
2023-11-14,187.4400
2023-11-13,184.8000
2023-11-10,186.4000
2023-11-09,182.4100
2023-11-08,182.8900
2023-11-07,181.8200
2023-11-06,179.2300
2023-11-03,176.6500
2023-11-02,177.5700
2023-11-01,173.9700
2023-10-31,170.7700
2023-10-30,170.2900
2023-10-27,168.2200
2023-10-26,166.8900
2023-10-25,171.1000
2023-10-24,173.4400
2023-10-23,173.0000
